policy_id,period_start,trip_ct,exposure_miles,duration_s,harsh_brake_per_100mi,overspeed_ratio,night_ratio,avg_overspeed_ratio,night_miles_ratio,phone_usage_per_hr,mean_speed_mps,miles_per_trip,speed_var_across_trips,label_claim_next90d
driver_00000,2025-09-01,8,44.66767863732501,5752.0,0.0,0.0,0.3560344489849087,0.0,0.3560344489849087,0.0,12.497384846143772,5.583459829665626,0.0016236309562046,0
driver_00001,2025-09-01,8,46.67030423218591,5752.0,0.0,0.0,0.612363959816629,0.0,0.612363959816629,0.0,13.395950928626007,5.833788029023239,5.04310286629561,0
driver_00002,2025-09-01,8,55.70662374394255,5752.0,0.0,0.0,0.392021242042409,0.0,0.392021242042409,0.0,15.58448405790662,6.963327967992819,0.0047543796384136,0
driver_00003,2025-09-01,8,50.91064629463766,5752.0,0.0,0.0,0.4645858877323782,0.0,0.4645858877323782,0.0,14.45172683351879,6.363830786829707,3.3591563102176702,0
driver_00004,2025-09-01,8,33.04582204542108,5752.0,0.0,0.0,0.2552158880629564,0.0,0.2552158880629564,0.0,9.254473610474614,4.130727755677635,0.0831740200269713,1
driver_00005,2025-09-01,6,28.65017315012923,4314.0,0.0,0.0,0.3344134689837741,0.0,0.3344134689837741,0.0,10.688476897689824,4.7750288583548715,0.0033238046864711,0
driver_00006,2025-09-01,6,26.166964511240113,4314.0,0.0,0.0,0.3345562147445505,0.0,0.3345562147445505,0.0,9.761822504307151,4.361160751873352,0.0015992067127698,1
driver_00007,2025-09-01,6,45.62202956593307,4314.0,0.0,0.0,0.3326655521955293,0.0,0.3326655521955293,0.0,17.01952186891699,7.603671594322178,0.0045068442271733,0
driver_00008,2025-09-01,6,29.007975552085444,4314.0,0.0,0.0,0.6655327553676027,0.0,0.6655327553676027,0.0,10.820354974198487,4.834662592014241,0.0012818497047967,0
driver_00009,2025-09-01,6,26.295893356253153,4314.0,0.0,0.0,0.1668115801303781,0.0,0.1668115801303781,0.0,9.80936920584234,4.3826488927088585,0.0005525974765946,0
driver_00010,2025-09-01,6,20.829315392211328,4314.0,0.0,0.0,0.4999756999948617,0.0,0.4999756999948617,0.0,7.771420038635523,3.4715525653685546,0.0030626845640432,0
driver_00011,2025-09-01,6,23.917187448739305,4314.0,0.0,0.0,0.1648783071584993,0.0,0.1648783071584993,0.0,8.922630073630254,3.9861979081232177,0.0024290546422967,0
driver_00012,2025-09-01,6,37.44310761351711,4314.0,0.0,0.0,0.7435158672149582,0.0,0.7435158672149582,0.0,13.968935754625411,6.240517935586184,0.0055794942852364,1
driver_00013,2025-09-01,6,23.889983078555375,4314.0,0.0,0.0,0.0343948438651968,0.0,0.0343948438651968,0.0,8.91108382205241,3.981663846425896,0.0029618223734567,1
driver_00014,2025-09-01,6,31.243478735924835,4314.0,0.0,0.0,0.5002205110401315,0.0,0.5002205110401315,0.0,11.655565785660276,5.207246455987472,0.0008567876268647,0
driver_00015,2025-09-01,6,34.36350702584326,4314.0,0.0,0.0,0.3347214395710658,0.0,0.3347214395710658,0.0,12.820214934879465,5.727251170973877,0.0042643084663708,0
driver_00016,2025-09-01,6,35.91477777829958,4314.0,0.0,0.0,0.5017580590651244,0.0,0.5017580590651244,0.0,13.399289519673022,5.985796296383263,0.0094355058369982,0
driver_00017,2025-09-01,6,28.386503743348673,4314.0,0.0,0.0,0.7998304775478218,0.0,0.7998304775478218,0.0,10.59019949671677,4.7310839572247785,0.0014719627373971,1
driver_00018,2025-09-01,6,36.222521586968526,4314.0,0.0,0.0,0.6680530757567603,0.0,0.6680530757567603,0.0,13.513530813460893,6.037086931161421,0.0090426061793337,1
driver_00019,2025-09-01,6,34.22763602493842,4314.0,0.0,0.0,0.4997829034956204,0.0,0.4997829034956204,0.0,12.769852715069725,5.704606004156403,0.0035225059614197,1
driver_00020,2025-09-01,6,43.352525900297515,4314.0,0.0,0.0,0.4990980798516689,0.0,0.4990980798516689,0.0,16.172966712800967,7.225420983382919,0.0024700567739197,1
driver_00021,2025-09-01,6,42.894831482608325,4314.0,0.0,0.0,0.6676557310319021,0.0,0.6676557310319021,0.0,16.002347947136798,7.1491385804347205,0.0062479422968108,1
driver_00022,2025-09-01,6,20.41948770192857,4314.0,0.0,0.0,0.3327568957687614,0.0,0.3327568957687614,0.0,7.617335110884625,3.403247950321429,0.0033510776965664,0
driver_00023,2025-09-01,6,37.29562266999432,4314.0,0.0,0.0,0.6676323715742184,0.0,0.6676323715742184,0.0,13.91200754326336,6.21593711166572,0.0020651003948046,1
driver_00024,2025-09-01,6,34.097015274476405,4314.0,0.0,0.0,0.1651427441946097,0.0,0.1651427441946097,0.0,12.721107050580194,5.682835879079401,0.0036258862111625,1
driver_00025,2025-09-01,6,33.31155958351466,4314.0,0.0,0.0,0.8336421941119629,0.0,0.8336421941119629,0.0,12.427816135532735,5.551926597252443,0.0019711963323046,1
driver_00026,2025-09-01,6,28.480965547391943,4314.0,0.0,0.0,0.6661860163066672,0.0,0.6661860163066672,0.0,10.624753140265744,4.746827591231991,0.0024999406895575,0
